ID,Comments,Topics
1,The agency provides good benefits but there is little room for career growth.,"Opportunities for Advancement, Employee Benefits"
2,I feel proud to serve the community through my work at this agency.,"Employee pride, community service"
3,The workload is overwhelming at times due to understaffing in our department.,"Workload, understaffing"
4,My supervisor is supportive and encourages me to develop new skills.,"Supportive supervisor, skill development encouragement"
5,The bureaucracy and red tape can be frustrating when trying to get things done efficiently.,"Bureaucracy, red tape, efficiency issues"
6,I appreciate the flexibility to have a good work-life balance while working here.,Work Schedule and Telework
7,There are limited opportunities for training and professional development.,Training and Development
8,Communication from upper management could be more transparent and timely.,"Communication and Collaboration, Management and Leadership"
9,My coworkers are collaborative and we have a positive team dynamic.,"Communication and Collaboration, Workplace Environment and Culture"
10,The outdated technology and systems hinder productivity in my role.,"Outdated technology, hindered productivity."
11,I feel my contributions are valued and recognized by my supervisor and team.,Workplace Environment and Culture
12,The physical office space is cramped and noisy making it difficult to concentrate.,"Workplace Environment and Culture, Physical Office Space"
13,The agency's mission to serve the public keeps me motivated in my work.,"Employee Motivation, Agency Mission"
14,Processes are often inefficient and could be streamlined to save time and resources.,"Process inefficiency, need for streamlining, resource optimization."
15,I have had positive experiences with the HR department when needing assistance.,Positive HR experiences
16,Cross-departmental collaboration is lacking and leads to silos within the agency.,"Communication and Collaboration, Cross-departmental collaboration, Silos within the agency"
17,I believe my salary is fair and competitive compared to similar roles in other agencies.,Compensation and Benefits
18,There are too many meetings that take time away from actual work tasks.,"Too many meetings, time management issues."
19,I feel supported in taking time off when needed for personal or family reasons.,Work Schedule and Telework
20,The agency could do more to promote diversity and inclusion in the workplace.,"Workplace Environment and Culture, Diversity and Inclusion"
